Wavelength	 LAMP_irradiance_NIST(W/m2/nm)
350	0.00706702
351	0.007241436
352	0.007418776
353	0.007599059
354	0.007782302
355	0.007968522
356	0.008157736
357	0.00834996
358	0.008545211
359	0.008743504
360	0.008944854
361	0.009149275
362	0.009356782
363	0.009567387
364	0.009781105
365	0.009997949
366	0.010217929
367	0.010441059
368	0.010667349
369	0.010896811
370	0.011129454
371	0.011365288
372	0.011604324
373	0.01184657
374	0.012092034
375	0.012340724
376	0.012592648
377	0.012847813
378	0.013106225
379	0.01336789
380	0.013632814
381	0.013901002
382	0.014172458
383	0.014447187
384	0.014725191
385	0.015006475
386	0.01529104
387	0.015578888
388	0.015870022
389	0.016164442
390	0.01646215
391	0.016763144
392	0.017067425
393	0.017374992
394	0.017685844
395	0.017999979
396	0.018317395
397	0.018638088
398	0.018962056
399	0.019289296
400	0.019619802
401	0.019953571
402	0.020290597
403	0.020630875
404	0.020974399
405	0.021321163
406	0.021671159
407	0.02202438
408	0.022380819
409	0.022740467
410	0.023103316
411	0.023469357
412	0.02383858
413	0.024210976
414	0.024586533
415	0.024965242
416	0.02534709
417	0.025732067
418	0.026120161
419	0.026511359
420	0.026905649
421	0.027303016
422	0.027703449
423	0.028106932
424	0.028513452
425	0.028922994
426	0.029335542
427	0.029751082
428	0.030169598
429	0.030591073
430	0.031015491
431	0.031442836
432	0.03187309
433	0.032306235
434	0.032742254
435	0.033181129
436	0.033622841
437	0.034067372
438	0.034514702
439	0.034964812
440	0.035417683
441	0.035873293
442	0.036331624
443	0.036792655
444	0.037256365
445	0.037722732
446	0.038191735
447	0.038663353
448	0.039137564
449	0.039614346
450	0.040093676
451	0.040575532
452	0.041059891
453	0.04154673
454	0.042036025
455	0.042527753
456	0.04302189
457	0.043518413
458	0.044017297
459	0.044518517
460	0.04502205
461	0.045527871
462	0.046035954
463	0.046546275
464	0.047058808
465	0.047573528
466	0.048090409
467	0.048609426
468	0.049130552
469	0.049653762
470	0.050179029
471	0.050706328
472	0.051235631
473	0.051766912
474	0.052300144
475	0.052835301
476	0.053372355
477	0.05391128
478	0.054452048
479	0.054994632
480	0.055539005
481	0.05608514
482	0.056633008
483	0.057182582
484	0.057733835
485	0.058286739
486	0.058841265
487	0.059397387
488	0.059955076
489	0.060514304
490	0.061075043
491	0.061637266
492	0.062200943
493	0.062766048
494	0.063332551
495	0.063900424
496	0.06446964
497	0.06504017
498	0.065611985
499	0.066185058
500	0.06675936
501	0.067334862
502	0.067911538
503	0.068489357
504	0.069068293
505	0.069648317
506	0.070229399
507	0.070811514
508	0.071394631
509	0.071978723
510	0.072563761
511	0.073149719
512	0.073736566
513	0.074324277
514	0.074912821
515	0.075502172
516	0.076092302
517	0.076683182
518	0.077274785
519	0.077867083
520	0.078460049
521	0.079053654
522	0.079647872
523	0.080242674
524	0.080838034
525	0.081433924
526	0.082030316
527	0.082627184
528	0.0832245
529	0.083822238
530	0.08442037
531	0.08501887
532	0.085617711
533	0.086216865
534	0.086816308
535	0.087416012
536	0.08801595
537	0.088616097
538	0.089216427
539	0.089816913
540	0.090417529
541	0.091018251
542	0.091619051
543	0.092219904
544	0.092820786
545	0.09342167
546	0.094022532
547	0.094623345
548	0.095224087
549	0.09582473
550	0.096425251
551	0.097025626
552	0.097625829
553	0.098225837
554	0.098825625
555	0.099425169
556	0.100024445
557	0.100623429
558	0.101222099
559	0.10182043
560	0.102418399
561	0.103015983
562	0.103613158
563	0.104209902
564	0.104806193
565	0.105402007
566	0.105997322
567	0.106592116
568	0.107186366
569	0.107780051
570	0.108373148
571	0.108965637
572	0.109557495
573	0.110148701
574	0.110739234
575	0.111329072
576	0.111918196
577	0.112506584
578	0.113094215
579	0.113681069
580	0.114267126
581	0.114852366
582	0.115436769
583	0.116020314
584	0.116602983
585	0.117184756
586	0.117765614
587	0.118345537
588	0.118924506
589	0.119502503
590	0.12007951
591	0.120655507
592	0.121230476
593	0.121804399
594	0.122377259
595	0.122949037
596	0.123519716
597	0.124089278
598	0.124657706
599	0.125224983
600	0.125791092
601	0.126356017
602	0.126919739
603	0.127482244
604	0.128043514
605	0.128603534
606	0.129162288
607	0.129719759
608	0.130275932
609	0.130830793
610	0.131384324
611	0.131936512
612	0.132487342
613	0.133036798
614	0.133584865
615	0.134131531
616	0.134676779
617	0.135220596
618	0.135762969
619	0.136303882
620	0.136843324
621	0.137381279
622	0.137917735
623	0.138452679
624	0.138986097
625	0.139517977
626	0.140048307
627	0.140577073
628	0.141104263
629	0.141629865
630	0.142153868
631	0.142676259
632	0.143197026
633	0.143716158
634	0.144233644
635	0.144749473
636	0.145263632
637	0.145776112
638	0.146286902
639	0.14679599
640	0.147303368
641	0.147809023
642	0.148312947
643	0.148815129
644	0.149315559
645	0.149814227
646	0.150311125
647	0.150806243
648	0.151299571
649	0.1517911
650	0.152280822
651	0.152768728
652	0.153254809
653	0.153739056
654	0.154221461
655	0.154702017
656	0.155180714
657	0.155657545
658	0.156132503
659	0.156605579
660	0.157076766
661	0.157546058
662	0.158013445
663	0.158478922
664	0.158942482
665	0.159404118
666	0.159863822
667	0.16032159
668	0.160777413
669	0.161231287
670	0.161683204
671	0.162133159
672	0.162581146
673	0.163027159
674	0.163471194
675	0.163913243
676	0.164353302
677	0.164791366
678	0.165227429
679	0.165661487
680	0.166093535
681	0.166523568
682	0.166951582
683	0.167377572
684	0.167801533
685	0.168223462
686	0.168643354
687	0.169061206
688	0.169477014
689	0.169890773
690	0.17030248
691	0.170712133
692	0.171119727
693	0.171525258
694	0.171928725
695	0.172330124
696	0.172729451
697	0.173126705
698	0.173521882
699	0.17391498
700	0.174305996
701	0.174694928
702	0.175081774
703	0.175466532
704	0.175849198
705	0.176229772
706	0.176608252
707	0.176984636
708	0.177358921
709	0.177731108
710	0.178101193
711	0.178469176
712	0.178835056
713	0.179198831
714	0.1795605
715	0.179920063
716	0.180277518
717	0.180632865
