Wavelength	 RAW_spectrum_average_lamp
350	70.98741302
351	72.6657341
352	75.11608276
353	77.89722137
354	80.88741379
355	82.63566284
356	83.99370575
357	85.4713295
358	88.4783226
359	90.63496475
360	92.3615387
361	93.7601387
362	95.66223755
363	97.3902092
364	98.9258728
365	102.0727264
366	103.5541672
367	104.5062943
368	108.0727272
369	110.2937057
370	111.8468521
371	112.9657349
372	115.807692
373	119.136364
374	122.7265732
375	124.055246
376	127.1580429
377	131.3370621
378	134.6937012
379	138.6923645
380	143.0993042
381	147.924472
382	152.990213
383	158.065036
384	163.1
385	169.2538452
386	175.2083923
387	181.3062927
388	189.2083893
389	196.0678345
390	202.9321686
391	210.9041977
392	219.4194412
393	228.1699326
394	237.1209808
395	246.8258728
396	257.3538406
397	268.5006927
398	279.3398621
399	291.0958038
400	303.3909088
401	316.0482574
402	328.8797272
403	342.2783173
404	356.4741272
405	370.6416718
406	385.1573395
407	400.0664307
408	415.7307709
409	431.1139862
410	446.1741211
411	460.649646
412	478.5237701
413	496.7433563
414	514.2258667
415	533.1034851
416	552.1272705
417	571.0545471
418	588.3272827
419	605.5208313
420	622.6230774
421	639.5461548
422	655.695813
423	671.5391663
424	687.2035156
425	705.2091064
426	721.7125854
427	736.4545288
428	750.0908936
429	763.8167969
430	777.5930176
431	791.3692261
432	804.0958252
433	816.0328491
434	827.0118896
435	838.2454529
436	848.9
437	858.8895081
438	868.679718
439	878.6867126
440	888.6272766
441	897.7181946
442	907.2342712
443	916.8384644
444	926.3489502
445	935.1125
446	943.7566528
447	952.3412537
448	960.3832275
449	969.3901978
450	978.719574
451	986.4818176
452	995.5377747
453	1004.701392
454	1013.093011
455	1023.269226
456	1033.342688
457	1042.997217
458	1052.858337
459	1064.179028
460	1076.483215
461	1088.37135
462	1099.655273
463	1111.94126
464	1127.255981
465	1141.307678
466	1155.695105
467	1170.8
468	1186.114685
469	1201.987415
470	1218.56665
471	1236.9
472	1254.637781
473	1272.932166
474	1293.421692
475	1314.557373
476	1336.016772
477	1357.765051
478	1380.678308
479	1403.846155
480	1427.320276
481	1451.655957
482	1478.018188
483	1505.386096
484	1533.025
485	1560.420972
486	1588.527271
487	1617.827991
488	1649.276941
489	1681.667847
490	1714.765735
491	1747.423059
492	1783.125867
493	1819.808386
494	1854.843372
495	1891.804199
496	1929.434729
497	1967.420825
498	2007.299976
499	2047.335632
500	2087.590234
501	2129.967822
502	2171.163647
503	2212.292285
504	2255.439111
505	2298.365063
506	2341.534253
507	2385.240552
508	2428.166479
509	2472.169434
510	2517.41958
511	2564.412598
512	2610.788818
513	2657.096509
514	2704.579004
515	2752.007739
516	2800.109766
517	2849.550342
518	2898.290918
519	2947.902075
520	2998.46853
521	3047.839185
522	3098.719482
523	3149.784595
524	3197.476855
525	3248.15874
526	3299.478979
527	3350.038403
528	3400.411206
529	3449.827979
530	3498.134912
531	3545.967163
532	3593.673389
533	3641.046191
534	3687.2
535	3733.476367
536	3779.263647
537	3823.809082
538	3868.050293
539	3910.861548
540	3951.910474
541	3992.959497
542	4032.953833
543	4072.058716
544	4110.450537
545	4146.52583
546	4181.98457
547	4218.138428
548	4250.851318
549	4283.157324
550	4315.674854
551	4339.538428
552	4363.23623
553	4386.945459
554	4411.14126
555	4435.483984
556	4460.38042
557	4486.604199
558	4513.474219
559	4540.753906
560	4568.446094
561	4599.633691
562	4627.258984
563	4651.053711
564	4667.907031
565	4684.237012
566	4699.202246
567	4710.810498
568	4721.501367
569	4731.772754
570	4741.702783
571	4748.141943
572	4752.878906
573	4756.109814
574	4758.207715
575	4759.970215
576	4761.39292
577	4762.232275
578	4764.749658
579	4767.014063
580	4768.132813
581	4768.134326
582	4768.777539
583	4770.123096
584	4771.661426
585	4774.018311
586	4776.476855
587	4777.735547
588	4780.413867
589	4783.64834
590	4787.214746
591	4790.073389
592	4794.549658
593	4800.702148
594	4805.737109
595	4811.565039
596	4817.746777
597	4823.481104
598	4832.015332
599	4840.292236
600	4846.446191
601	4856.479102
602	4867.751709
603	4879.874854
604	4889.245508
605	4901.004883
606	4914.291602
607	4927.578223
608	4944.851025
609	4962.736377
610	4979.100098
611	4997.019531
612	5013.555322
613	5028.297949
614	5044.895117
615	5058.590381
616	5069.462793
617	5076.106299
618	5079.431396
619	5080.018896
620	5077.081836
621	5069.338379
622	5060.630811
623	5051.549658
624	5036.514648
625	5023.102051
626	5010.5646
627	4996.328418
628	4980.879736
629	4966.325928
630	4955.346875
631	4936.997119
632	4917.141309
633	4897.001416
634	4882.607617
635	4875.986719
636	4876.227246
637	4881.821582
638	4891.674756
639	4907.025
640	4932.302783
641	4966.259473
642	5000.51123
643	5032.539355
644	5065.991602
645	5100.847607
646	5137.246191
647	5176.756641
648	5217.123096
649	5259.238574
650	5305.392236
651	5357.222998
652	5411.8354
653	5468.849365
654	5533.881836
655	5603.736426
656	5678.382568
657	5760.4104
658	5844.884619
659	5932.195068
660	6024.782471
661	6119.27207
662	6215.427197
663	6313.60918
664	6409.884668
665	6503.006201
666	6592.80835
667	6677.213916
668	6754.951123
669	6827.600732
670	6895.223145
671	6954.772754
672	7010.62583
673	7063.842676
674	7113.971338
675	7162.529395
676	7209.66499
677	7255.748926
678	7300.40625
679	7344.297168
680	7388.492969
681	7433.964355
682	7479.7
683	7525.154492
684	7573.441406
685	7621.648193
686	7669.642773
687	7723.209131
688	7775.367822
689	7826.979004
690	7880.195898
691	7932.71875
692	7985.622461
693	8039.888184
694	8091.446143
695	8144.900684
696	8201.034961
697	8252.783008
698	8306.099414
699	8359.934277
700	8410.773535
701	8460.846875
702	8508.644043
703	8551.790723
704	8595.607422
705	8638.83877
706	8681.2
707	8721.689551
708	8760.385254
709	8797.003516
710	8829.171289
711	8860.395703
712	8891.07832
713	8921.358008
714	8947.655273
715	8972.104102
716	8994.971387
717	9017.423047
718	9039.666602
719	9061.382422
720	9080.403125
721	9097.590723
722	9113.918164
723	9130.141992
724	9145.90127
725	9161.062305
726	9175.467773
727	9190.619629
728	9204.661523
729	9217.438574
730	9227.788184
731	9233.130566
732	9236.205469
733	9239.5625
734	9235.158984
735	9231.40625
736	9231.685938
737	9236.283789
738	9247.145313
739	9262.874121
740	9271.475488
741	9278.646289
742	9285.706836
743	9294.867773
744	9299.08916
745	9300.597266
746	9299.478223
747	9300.440625
748	9302.678125
749	9306.519629
750	9316.799219
751	9320.186719
752	9318.478223
753	9312.184473
754	9309.491016
755	9304.924414
756	9294.994531
757	9282.125195
758	9268.150195
759	9253.349805
760	9240.342578
761	9227.249121
762	9213.823242
763	9199.207617
764	9182.944824
765	9166.092383
766	9149.099219
767	9133.050586
768	9116.28457
769	9098.511328
770	9078.788672
771	9058.564258
772	9037.992969
773	9017.363574
774	8994.14668
775	8970.215625
776	8946.719922
777	8918.977051
778	8891.347559
779	8864.498633
780	8834.428809
781	8807.081641
782	8780.833398
783	8750.416797
784	8722.515625
785	8694.862305
786	8665.421777
787	8635.379785
788	8605.420313
789	8575.7
790	8545.070605
791	8512.488184
792	8478.73584
793	8446.847656
794	8413.023047
795	8378.086035
796	8342.32207
797	8306.524121
798	8270.920898
799	8235.60625
800	8200.839941
801	8165.084668
802	8128.679004
803	8093.504395
804	8056.930078
805	8020.036377
806	7984.022363
807	7945.628613
808	7906.494482
809	7866.980518
810	7823.374756
811	7780.043359
812	7737.106299
813	7694.169287
814	7653.387451
815	7613.9021
816	7575.160742
817	7538.458691
818	7502.314697
819	7466.300684
820	7428.360107
821	7390.997314
822	7353.944043
823	7313.244727
824	7272.409033
825	7231.099854
826	7188.372754
827	7148.518164
828	7108.269238
829	7065.961572
830	7026.385449
831	6987.993701
832	6950.473389
833	6911.522363
834	6872.788867
835	6834.277588
836	6796.16582
837	6757.299951
838	6718.494287
839	6680.242578
840	6640.209033
841	6600.603516
842	6561.551025
843	6520.571973
844	6479.679639
845	6439.212646
846	6400.331445
847	6362.194385
848	6324.60835
849	6287.663916
850	6248.933545
851	6210.561572
852	6172.90498
853	6136.401367
854	6099.730127
855	6063.232275
856	6028.127246
857	5992.349609
858	5956.357227
859	5920.413281
860	5884.1
861	5847.25625
862	5809.830811
863	5772.907764
864	5737.079639
865	5701.929297
866	5666.125
